Candidate_ID,Name,Predicted_Loss
0,Candidate 0 (Switches: 0000101111),2.4088377952575684
1,Candidate 1 (Switches: 0000110111),2.372342824935913
2,Candidate 2 (Switches: 0000111011),2.600130796432495
3,Candidate 3 (Switches: 0000111101),2.514521360397339
4,Candidate 4 (Switches: 0000111110),2.5806524753570557
5,Candidate 5 (Switches: 0000111111),2.3143794536590576
6,Candidate 6 (Switches: 0001001111),2.607395648956299
7,Candidate 7 (Switches: 0001010111),2.5585403442382812
8,Candidate 8 (Switches: 0001011011),2.80436110496521
9,Candidate 9 (Switches: 0001011101),2.6792407035827637
10,Candidate 10 (Switches: 0001011110),2.7258644104003906
11,Candidate 11 (Switches: 0001011111),2.5707647800445557
12,Candidate 12 (Switches: 0001101110),2.5585668087005615
13,Candidate 13 (Switches: 0001101111),2.4104151725769043
14,Candidate 14 (Switches: 0001110110),2.5713441371917725
15,Candidate 15 (Switches: 0001110111),2.4728894233703613
16,Candidate 16 (Switches: 0001111010),2.7275359630584717
17,Candidate 17 (Switches: 0001111011),2.6168556213378906
18,Candidate 18 (Switches: 0001111100),2.608372926712036
19,Candidate 19 (Switches: 0001111101),2.4849655628204346
20,Candidate 20 (Switches: 0001111110),2.501145362854004
21,Candidate 21 (Switches: 0001111111),2.3725457191467285
22,Candidate 22 (Switches: 0010001111),2.5585405826568604
23,Candidate 23 (Switches: 0010010111),2.607395648956299
24,Candidate 24 (Switches: 0010011011),2.7258646488189697
25,Candidate 25 (Switches: 0010011101),2.6792407035827637
26,Candidate 26 (Switches: 0010011110),2.804360866546631
27,Candidate 27 (Switches: 0010011111),2.5707647800445557
28,Candidate 28 (Switches: 0010101101),2.5612881183624268
29,Candidate 29 (Switches: 0010101110),2.6486215591430664
30,Candidate 30 (Switches: 0010101111),2.414262533187866
31,Candidate 31 (Switches: 0010110101),2.697626829147339
32,Candidate 32 (Switches: 0010110110),2.735955238342285
33,Candidate 33 (Switches: 0010110111),2.411216974258423
34,Candidate 34 (Switches: 0010111001),2.655879020690918
35,Candidate 35 (Switches: 0010111010),2.7275359630584717
36,Candidate 36 (Switches: 0010111011),2.4676806926727295
37,Candidate 37 (Switches: 0010111101),2.49951434135437
38,Candidate 38 (Switches: 0010111110),2.5795412063598633
